cod_paises
0
13
17
20
23
31
37
40
41
43
47
53
59
63
64
65
69
72
73
77
80
81
83
85
87
88
90
93
97
98
100
101
105
108
111
115
119
127
137
141
145
149
150
151
153
154
158
160
161
163
165
169
173
177
183
187
190
193
195
196
198
199
229
232
235
239
240
243
244
245
246
247
249
251
253
255
259
267
271
275
281
285
289
291
293
297
301
305
309
313
317
325
329
331
334
337
341
345
351
355
357
359
361
365
367
369
372
375
379
383
386
388
391
396
399
403
411
420
423
426
427
431
434
438
440
442
445
447
449
450
452
455
458
461
464
467
472
474
476
477
485
488
490
493
494
495
497
498
499
501
505
507
508
511
517
521
525
528
531
535
538
542
545
548
551
556
566
573
575
576
580
586
589
593
599
603
607
611
623
625
628
640
647
660
665
670
675
676
677
678
685
687
690
691
695
697
700
705
710
715
720
728
731
735
737
741
744
748
750
754
756
759
764
767
770
772
776
780
782
783
788
791
795
800
805
810
815
820
823
824
827
828
831
833
845
847
848
850
858
863
866
870
873
875
888
890
895
990
994
995
997
999
